                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0964,                 4.2484,                0.97915,                0.13501,                0.38358,                0.20984,                0.15509,                0.82252,                 2.3559,                0.91146,             0.00023659,             0.00023659,             0.00023659
                      2,                0.88195,                 3.3632,                0.93463,                0.19374,                0.57955,                0.27107,                0.21317,                0.75815,                 1.9281,                0.91943,              0.0004511,              0.0004511,              0.0004511
                      3,                0.85467,                 2.9774,                0.93489,                0.24624,                0.72301,                0.31442,                0.25052,                0.75128,                 1.7925,                 0.9241,             0.00064205,             0.00064205,             0.00064205
                      4,                0.82212,                 2.7246,                0.92555,                0.28343,                0.81936,                0.42475,                0.34566,                0.72096,                 1.6439,                 0.9286,             0.00060797,             0.00060797,             0.00060797
                      5,                0.81075,                 2.6126,                0.92003,                0.38354,                0.80207,                0.48213,                0.40135,                0.71853,                  1.453,                0.90742,             0.00057263,             0.00057263,             0.00057263
                      6,                0.79826,                 2.3285,                0.92633,                 0.3875,                0.84923,                0.52298,                0.42735,                0.70538,                 1.4262,                0.91203,             0.00053728,             0.00053728,             0.00053728
                      7,                0.81742,                 2.1789,                0.92678,                0.39469,                0.87538,                0.57574,                0.46791,                0.73194,                 1.3674,                0.90914,             0.00050194,             0.00050194,             0.00050194
                      8,                0.75605,                 1.9915,                0.92064,                0.45309,                0.87665,                0.61145,                0.50581,                0.67517,                  1.203,                0.90676,              0.0004666,              0.0004666,              0.0004666
                      9,                0.75251,                  1.947,                0.91453,                0.49157,                0.87415,                0.60459,                0.50074,                0.67094,                 1.2469,                0.90748,             0.00043126,             0.00043126,             0.00043126
                     10,                 0.7189,                 1.7882,                0.89682,                0.45721,                0.86037,                0.55613,                0.46283,                0.64762,                   1.37,                0.90635,             0.00039591,             0.00039591,             0.00039591
                     11,                0.68693,                 1.9637,                0.90693,                0.50865,                0.93405,                0.64435,                0.52888,                 0.6587,                 1.1287,                0.89712,             0.00036057,             0.00036057,             0.00036057
                     12,                0.68104,                 1.8857,                0.90478,                0.53696,                0.84955,                0.63566,                0.52842,                0.65119,                 1.1451,                0.90113,             0.00032523,             0.00032523,             0.00032523
                     13,                 0.6524,                 1.7509,                0.91076,                0.60363,                0.86825,                0.72404,                0.60559,                0.64448,                 1.0035,                0.89963,             0.00028988,             0.00028988,             0.00028988
                     14,                0.64926,                  1.643,                0.90218,                0.58966,                0.89367,                0.69906,                0.58414,                0.64769,                 1.0268,                 0.8957,             0.00025454,             0.00025454,             0.00025454
                     15,                0.65456,                 1.5882,                0.89578,                0.64567,                0.89861,                0.76301,                0.64018,                0.64386,                0.94814,                0.89185,              0.0002192,              0.0002192,              0.0002192
                     16,                0.64159,                  1.545,                0.89631,                0.61746,                0.83971,                 0.7618,                 0.6417,                0.63542,                0.93657,                0.88524,             0.00018385,             0.00018385,             0.00018385
                     17,                0.63528,                 1.4848,                0.88836,                0.68271,                0.90719,                0.79742,                0.67944,                0.62065,                 0.8777,                0.88646,             0.00014851,             0.00014851,             0.00014851
                     18,                0.61947,                 1.4355,                0.88951,                0.66795,                0.89941,                0.80047,                0.67492,                0.62345,                0.87113,                 0.8914,             0.00011317,             0.00011317,             0.00011317
                     19,                0.62115,                  1.423,                0.89035,                0.65507,                0.95603,                0.77611,                0.66005,                0.62625,                0.87037,                0.88965,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.60766,                 1.3715,                0.88304,                0.63558,                0.96163,                0.77849,                0.66621,                 0.6091,                0.88254,                0.88776,             4.2483e-05,             4.2483e-05,             4.2483e-05
