                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1025,                 4.2646,                 0.9776,                0.12038,                0.35089,                0.15683,                0.12157,                0.75218,                 2.3717,                0.90151,             0.00023659,             0.00023659,             0.00023659
                      2,                0.90169,                 3.4047,                0.93316,                 0.1826,                0.65584,                0.24408,                0.19595,                0.73039,                 1.9427,                0.88415,              0.0004511,              0.0004511,              0.0004511
                      3,                0.86892,                 2.9945,                 0.9251,                0.23367,                0.70507,                0.33426,                0.27081,                0.72522,                 1.7747,                0.88415,             0.00064205,             0.00064205,             0.00064205
                      4,                0.86796,                  2.773,                0.93118,                0.28378,                0.79374,                0.37703,                0.30512,                0.68863,                 1.6966,                0.88256,             0.00060797,             0.00060797,             0.00060797
                      5,                0.80347,                 2.5567,                0.90919,                0.31487,                 0.8278,                 0.4196,                0.34143,                0.68523,                 1.5864,                0.88477,             0.00057263,             0.00057263,             0.00057263
                      6,                0.81131,                 2.3097,                0.92022,                0.31869,                0.94648,                0.45845,                0.38585,                0.63118,                  1.468,                0.88102,             0.00053728,             0.00053728,             0.00053728
                      7,                0.79511,                 2.1915,                0.91821,                0.39557,                0.78765,                0.54221,                0.45127,                0.67715,                 1.4092,                0.88429,             0.00050194,             0.00050194,             0.00050194
                      8,                0.75656,                 2.0533,                0.91197,                0.44905,                0.92497,                0.59175,                0.49569,                0.66372,                 1.2737,                0.88186,              0.0004666,              0.0004666,              0.0004666
                      9,                0.77502,                 1.9377,                0.91629,                0.49243,                0.94748,                0.58872,                0.49193,                 0.6377,                 1.2563,                0.87362,             0.00043126,             0.00043126,             0.00043126
                     10,                0.74391,                 1.7688,                0.90564,                0.50497,                0.91144,                0.58795,                0.49061,                 0.6228,                  1.245,                0.86692,             0.00039591,             0.00039591,             0.00039591
                     11,                0.69633,                 1.9666,                 0.9122,                0.42613,                0.90833,                0.61631,                0.52055,                0.60374,                 1.2437,                0.86719,             0.00036057,             0.00036057,             0.00036057
                     12,                0.68883,                 1.8945,                0.90923,                0.50171,                0.94625,                0.68967,                0.59153,                0.60017,                  1.127,                 0.8631,             0.00032523,             0.00032523,             0.00032523
                     13,                0.67531,                 1.7683,                0.90139,                0.51976,                0.96623,                0.69022,                0.58757,                0.62662,                 1.0752,                0.86545,             0.00028988,             0.00028988,             0.00028988
                     14,                0.66431,                 1.7011,                0.89882,                0.58872,                0.88856,                0.70109,                0.59577,                0.61187,                 1.0891,                0.86329,             0.00025454,             0.00025454,             0.00025454
                     15,                0.65962,                 1.6624,                0.89085,                0.53937,                0.94365,                0.68968,                0.59344,                0.59669,                 1.0968,                0.85621,              0.0002192,              0.0002192,              0.0002192
                     16,                 0.6515,                 1.6096,                0.90231,                0.55512,                0.86154,                0.69677,                0.59844,                0.58929,                 1.1502,                0.86044,             0.00018385,             0.00018385,             0.00018385
                     17,                0.64388,                 1.5024,                0.88326,                0.54952,                0.96627,                0.73921,                0.64191,                0.59177,                 1.0696,                 0.8571,             0.00014851,             0.00014851,             0.00014851
                     18,                 0.6408,                  1.454,                0.88768,                0.52836,                0.95003,                0.75962,                0.65963,                0.58088,                 1.0672,                0.85676,             0.00011317,             0.00011317,             0.00011317
                     19,                0.62023,                 1.4265,                0.89038,                0.62397,                0.89017,                0.79401,                0.68783,                0.57657,                  1.015,                0.85538,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.62091,                 1.3977,                0.88104,                0.56903,                0.90527,                0.75489,                0.65564,                0.57894,                 1.0898,                0.85685,             4.2483e-05,             4.2483e-05,             4.2483e-05
