                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0758,                 4.1758,                0.97919,                0.11962,                 0.1181,                0.16541,                0.12699,                0.82526,                 2.6679,                0.90726,             0.00023659,             0.00023659,             0.00023659
                      2,                0.91111,                 3.4085,                0.93079,                0.15195,                0.54084,                0.20401,                0.16021,                0.78468,                 2.2142,                0.91326,              0.0004511,              0.0004511,              0.0004511
                      3,                0.88916,                 3.0774,                0.93225,                0.27415,                0.66771,                0.33216,                0.26912,                0.73518,                 1.8809,                0.92026,             0.00064205,             0.00064205,             0.00064205
                      4,                0.84953,                 2.7484,                0.92182,                0.30348,                0.73946,                0.40701,                0.33694,                0.69927,                 1.6593,                0.89648,             0.00060797,             0.00060797,             0.00060797
                      5,                0.83184,                 2.5804,                0.93296,                0.28157,                0.72704,                0.40102,                0.32593,                  0.725,                 1.6804,                0.89818,             0.00057263,             0.00057263,             0.00057263
                      6,                0.82079,                  2.347,                0.92886,                 0.3505,                0.82186,                0.48259,                0.41103,                 0.6466,                 1.4475,                0.89105,             0.00053728,             0.00053728,             0.00053728
                      7,                0.81251,                  2.189,                 0.9337,                 0.4113,                0.81176,                0.54606,                0.46425,                0.64469,                 1.3435,                0.88977,             0.00050194,             0.00050194,             0.00050194
                      8,                0.78875,                 2.0561,                0.92005,                0.45947,                0.82737,                0.60249,                 0.5143,                0.62163,                  1.273,                0.88678,              0.0004666,              0.0004666,              0.0004666
                      9,                0.78384,                 1.9362,                0.92824,                0.45062,                0.84217,                 0.5679,                0.47791,                0.66099,                  1.292,                0.89694,             0.00043126,             0.00043126,             0.00043126
                     10,                0.75566,                 1.7967,                0.91096,                0.49909,                0.86001,                0.66469,                0.56284,                0.62584,                 1.1982,                0.88028,             0.00039591,             0.00039591,             0.00039591
                     11,                0.71084,                 2.0219,                0.91151,                0.50819,                0.85545,                0.68559,                0.59365,                0.60613,                 1.1501,                0.88398,             0.00036057,             0.00036057,             0.00036057
                     12,                0.67562,                 1.9136,                0.91096,                0.54879,                0.82299,                0.70914,                0.60761,                0.59926,                 1.0672,                0.88204,             0.00032523,             0.00032523,             0.00032523
                     13,                0.66243,                 1.7999,                0.90314,                 0.6804,                0.75303,                 0.7662,                0.65836,                0.60468,                0.99104,                0.88164,             0.00028988,             0.00028988,             0.00028988
                     14,                0.65785,                  1.738,                0.91513,                0.49678,                 0.7434,                0.61422,                0.53192,                 0.6037,                 1.3432,                 0.8851,             0.00025454,             0.00025454,             0.00025454
                     15,                 0.6627,                 1.7066,                0.90253,                0.52767,                 0.9471,                0.71103,                0.61402,                0.59121,                  1.139,                0.88192,              0.0002192,              0.0002192,              0.0002192
                     16,                0.65582,                  1.625,                0.90436,                0.57361,                0.92194,                0.75992,                0.65708,                0.59257,                 1.0521,                 0.8763,             0.00018385,             0.00018385,             0.00018385
                     17,                0.63744,                 1.5296,                0.89346,                 0.6116,                0.95295,                0.78539,                0.68402,                0.58918,                 1.0175,                0.87425,             0.00014851,             0.00014851,             0.00014851
                     18,                0.62867,                  1.458,                0.89559,                0.64435,                0.90049,                0.79949,                0.69637,                0.57267,                 0.9328,                0.87265,             0.00011317,             0.00011317,             0.00011317
                     19,                0.62621,                 1.4464,                0.89098,                0.58842,                0.91153,                0.81037,                0.70814,                0.57276,                0.94545,                0.87107,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.62693,                 1.4581,                   0.88,                0.65258,                0.94183,                0.82142,                0.71752,                0.57121,                0.89039,                0.86973,             4.2483e-05,             4.2483e-05,             4.2483e-05
