                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.07,                  4.221,                0.97055,                0.14021,                0.47307,                0.16491,                 0.1319,                0.76383,                 2.4137,                0.89597,             0.00023659,             0.00023659,             0.00023659
                      2,                0.88626,                 3.3525,                0.93505,                0.15365,                0.58315,                0.23878,                0.18729,                0.77631,                 2.0922,                0.89573,              0.0004511,              0.0004511,              0.0004511
                      3,                0.86955,                 3.0434,                0.92502,                0.25704,                0.67704,                0.34358,                0.27045,                0.77495,                 1.9073,                0.91901,             0.00064205,             0.00064205,             0.00064205
                      4,                0.84339,                 2.7517,                 0.9242,                0.27749,                0.73214,                0.42028,                0.33371,                0.75943,                 1.7078,                0.90695,             0.00060797,             0.00060797,             0.00060797
                      5,                0.81478,                 2.5583,                0.92667,                0.33682,                0.70277,                0.45871,                0.36822,                0.71277,                 1.5726,                0.89352,             0.00057263,             0.00057263,             0.00057263
                      6,                0.76721,                 2.2386,                0.91441,                0.38779,                0.91503,                0.50456,                0.41317,                0.72047,                 1.4243,                0.89904,             0.00053728,             0.00053728,             0.00053728
                      7,                0.79875,                 2.1284,                0.93469,                0.39115,                0.86408,                0.62329,                0.50574,                0.71728,                 1.3545,                0.89683,             0.00050194,             0.00050194,             0.00050194
                      8,                0.74594,                 1.9846,                0.91372,                0.42696,                0.86264,                0.60801,                 0.4971,                0.67344,                 1.2614,                0.88855,              0.0004666,              0.0004666,              0.0004666
                      9,                0.72552,                  1.877,                0.91482,                0.46788,                0.92542,                0.66981,                 0.5521,                0.68735,                 1.2049,                0.88941,             0.00043126,             0.00043126,             0.00043126
                     10,                0.72709,                 1.7654,                0.90625,                0.51603,                 0.8897,                0.67017,                0.54274,                0.69326,                 1.1812,                0.89104,             0.00039591,             0.00039591,             0.00039591
                     11,                0.69604,                 2.0283,                0.91518,                0.51971,                 0.8422,                0.65718,                 0.5359,                 0.6934,                  1.214,                0.89203,             0.00036057,             0.00036057,             0.00036057
                     12,                0.66989,                 1.8773,                0.89971,                0.56544,                0.77741,                0.72736,                0.59822,                0.67131,                 1.0955,                0.88542,             0.00032523,             0.00032523,             0.00032523
                     13,                 0.6438,                 1.7273,                0.90103,                0.65375,                0.79029,                0.79416,                0.66447,                0.65962,                 1.0475,                0.87834,             0.00028988,             0.00028988,             0.00028988
                     14,                0.65487,                 1.6699,                0.89932,                0.60579,                0.75786,                0.77178,                0.63881,                0.66722,                 1.0192,                0.87606,             0.00025454,             0.00025454,             0.00025454
                     15,                0.66278,                 1.6361,                0.90306,                0.60969,                0.91899,                0.74077,                0.60292,                0.66545,                 1.0434,                0.88006,              0.0002192,              0.0002192,              0.0002192
                     16,                0.62868,                 1.5349,                 0.8966,                0.80072,                0.76525,                0.79085,                 0.6523,                0.66549,                0.94545,                0.87936,             0.00018385,             0.00018385,             0.00018385
                     17,                0.61754,                 1.4406,                 0.8788,                0.62761,                0.90342,                0.80277,                0.66723,                0.65119,                 1.0016,                0.87274,             0.00014851,             0.00014851,             0.00014851
                     18,                0.61867,                 1.4332,                0.88705,                0.73433,                0.79918,                0.79752,                0.66073,                 0.6443,                0.95286,                 0.8742,             0.00011317,             0.00011317,             0.00011317
                     19,                0.60791,                  1.355,                0.88059,                0.65906,                0.93815,                0.80468,                0.67242,                0.63881,                 0.9235,                0.87299,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.59765,                  1.331,                0.87144,                0.61893,                0.84531,                0.79894,                0.66219,                0.64171,                0.92431,                0.87488,             4.2483e-05,             4.2483e-05,             4.2483e-05
